PRESIDENT 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,State,RaceDate,CensusPop,Area,RedistrictedDate,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,California,20161108,"98,764",NEVADA,N/A,"54,935","23,365","Trump, Donald J.",Challenger,"26,053","Clinton, Hillary Rodham",Challenger,I,"2,378","Johnson, Gary E.",Challenger,"3,139","2,688",D,42.53,47.43,4.33,5.71,47.28,52.72,,,"Stein, Jill (Independent) 2,189; McMullin, Evan (Independent) 179; Sanders, Bernard (Write-in) 685; La Riva, Gloria (Write-in) 85; White, Jerry (Write-in) 1"
President,California,20161108,"3,010,232",ORANGE,N/A,"1,197,521","507,148","Trump, Donald J.",Challenger,"609,961","Clinton, Hillary Rodham",Challenger,I,"46,128","Johnson, Gary E.",Challenger,"34,284","102,813",D,42.35,50.94,3.85,2.86,45.40,54.60,,,"Stein, Jill (Independent) 18,068; McMullin, Evan (Independent) 4,917; Sanders, Bernard (Write-in) 6,239; La Riva, Gloria (Write-in) 4,898; Kotlikoff, Laurence (Write-in) 27; White, Jerry (Write-in) 4"
President,California,20161108,"348,432",PLACER,N/A,"182,839","95,138","Trump, Donald J.",Challenger,"73,509","Clinton, Hillary Rodham",Challenger,I,"9,245","Johnson, Gary E.",Challenger,"4,947","21,629",R,52.03,40.20,5.06,2.71,56.41,43.59,,,"Stein, Jill (Independent) 2,501; McMullin, Evan (Independent) 1,032; Sanders, Bernard (Write-in) 1,132; La Riva, Gloria (Write-in) 238; Kotlikoff, Laurence (Write-in) 10; White, Jerry (Write-in) 1"
President,California,20161108,"20,007",PLUMAS,N/A,"9,676","5,420","Trump, Donald J.",Challenger,"3,459","Clinton, Hillary Rodham",Challenger,I,411,"Johnson, Gary E.",Challenger,386,"1,961",R,56.01,35.75,4.25,3.99,61.04,38.96,,,"Stein, Jill (Independent) 186; McMullin, Evan (Independent) 51; Sanders, Bernard (Write-in) 120; La Riva, Gloria (Write-in) 29"
President,California,20161108,"2,189,641",RIVERSIDE,N/A,"751,391","333,243","Trump, Donald J.",Challenger,"373,695","Clinton, Hillary Rodham",Challenger,I,"24,089","Johnson, Gary E.",Challenger,"20,364","40,452",D,44.35,49.73,3.21,2.71,47.14,52.86,,,"Stein, Jill (Independent) 11,320; McMullin, Evan (Independent) 2,168; Sanders, Bernard (Write-in) 3,387; La Riva, Gloria (Write-in) 3,433; Kotlikoff, Laurence (Write-in) 4; White, Jerry (Write-in) 3"
President,California,20161108,"1,418,788",SACRAMENTO,N/A,"559,330","189,789","Trump, Donald J.",Challenger,"326,023","Clinton, Hillary Rodham",Challenger,I,"24,412","Johnson, Gary E.",Challenger,"19,106","136,234",D,33.93,58.29,4.36,3.42,36.79,63.21,,,"Stein, Jill (Independent) 9,846; McMullin, Evan (Independent) 2,205; Sanders, Bernard (Write-in) 4,429; La Riva, Gloria (Write-in) 2,556; Kotlikoff, Laurence (Write-in) 5"
President,California,20161108,"55,269",SAN BENITO,N/A,"21,924","7,841","Trump, Donald J.",Challenger,"12,521","Clinton, Hillary Rodham",Challenger,I,815,"Johnson, Gary E.",Challenger,747,"4,680",D,35.76,57.11,3.72,3.41,38.51,61.49,,,"Stein, Jill (Independent) 364; McMullin, Evan (Independent) 86; Sanders, Bernard (Write-in) 158; La Riva, Gloria (Write-in) 138; Kotlikoff, Laurence (Write-in) 1"
President,California,20161108,"2,035,210",SAN BERNARDINO,N/A,"653,983","271,240","Trump, Donald J.",Challenger,"340,833","Clinton, Hillary Rodham",Challenger,I,"21,050","Johnson, Gary E.",Challenger,"20,860","69,593",D,41.48,52.12,3.22,3.19,44.31,55.69,,,"Stein, Jill (Independent) 10,604; McMullin, Evan (Independent) 1,877; Sanders, Bernard (Write-in) 4,551; La Riva, Gloria (Write-in) 3,786; Kotlikoff, Laurence (Write-in) 5"
President,California,20161108,"3,095,313",SAN DIEGO,N/A,"1,306,400","477,766","Trump, Donald J.",Challenger,"735,476","Clinton, Hillary Rodham",Challenger,I,"51,663","Johnson, Gary E.",Challenger,"41,495","257,710",D,36.57,56.30,3.95,3.18,39.38,60.62,,,"Stein, Jill (Independent) 22,820; McMullin, Evan (Independent) 4,851; Sanders, Bernard (Write-in) 10,255; La Riva, Gloria (Write-in) 3,353; Kotlikoff, Laurence (Write-in) 42; White, Jerry (Write-in) 22"
President,California,20161108,"805,235",SAN FRANCISCO,N/A,"405,792","37,688","Trump, Donald J.",Challenger,"345,084","Clinton, Hillary Rodham",Challenger,I,"8,883","Johnson, Gary E.",Challenger,"14,137","307,396",D,9.29,85.04,2.19,3.48,9.85,90.15,,,"Stein, Jill (Independent) 9,904; McMullin, Evan (Independent) 373; Sanders, Bernard (Write-in) 2,021; La Riva, Gloria (Write-in) 1,799; Kotlikoff, Laurence (Write-in) 13; White, Jerry (Write-in) 5"
